date,description,elev_status,posted,time,traincount,type,weather
03/28/2016,BART is running shuttle trains between North Concord and Bay Point stations every 10-minutes. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,"There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   El Cerrito Plaza Richmond Platform Elevator and  Civic Center Street Elevator.  Thank you. ",Mon Mar 28 2016 04:33 AM PDT,07:59:00 AM PDT,58,DELAY,Clouds
03/28/2016,BART is running shuttle trains between North Concord and Bay Point stations every 10-minutes. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,"There are four elevators out of service at this time:  Union City Fremont Platform Elevator,   Civic Center Platform Elevator,   Civic Center Street Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ",Mon Mar 28 2016 03:52 PM PDT,17:29:00 PM PDT,60,DELAY,Rain
03/29/2016,BART is running shuttle trains between North Concord and Bay Point stations every 10-minutes. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,"There are four elevators out of service at this time:  Union City Fremont Platform Elevator,   Montgomery Platform Elevator,   Civic Center Street Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ",Tue Mar 29 2016 03:52 AM PDT,07:59:00 AM PDT,61,DELAY,Mist
03/29/2016,BART is running shuttle trains between North Concord and Bay Point stations every 10-minutes. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,"There are four elevators out of service at this time:  Union City Fremont Platform Elevator,   Montgomery Platform Elevator,   Civic Center Street Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ",Tue Mar 29 2016 03:52 AM PDT,17:29:00 PM PDT,60,DELAY,Clouds
03/30/2016,BART is running shuttle trains between North Concord and Bay Point stations every 10-minutes. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,"There are four elevators out of service at this time:  Union City Fremont Platform Elevator,   Lake Merritt Platform Elevator,   Civic Center Street Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ",Wed Mar 30 2016 03:54 AM PDT,07:59:00 AM PDT,60,DELAY,Mist
03/30/2016,BART is running a shuttle train between North Concord and Bay Point stations. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,"There are four elevators out of service at this time:  Union City Fremont Platform Elevator,   Lake Merritt Platform Elevator,   Civic Center Street Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ",Wed Mar 30 2016 08:57 AM PDT,17:29:00 PM PDT,57,DELAY,Haze
03/31/2016,BART is running a shuttle train between North Concord and Bay Point stations. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,"There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   Civic Center Street Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ",Thu Mar 31 2016 09:39 AM PDT,17:30:00 PM PDT,59,DELAY,Clouds
04/01/2016,BART is running shuttle trains between North Concord and Bay Point stations every 10-minutes. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,"There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   El Cerrito Plaza S.F./Fremont Platform Elevator and  Civic Center Street Elevator.  Thank you. ",Fri Apr 01 2016 03:53 AM PDT,07:59:00 AM PDT,60,DELAY,Mist
04/01/2016,BART is running a shuttle train between North Concord and Bay Point stations. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,"There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   El Cerrito Plaza S.F./Fremont Platform Elevator and  19th St. Oakland Street Elevator.  Thank you. ",Fri Apr 01 2016 10:21 AM PDT,17:30:00 PM PDT,59,DELAY,Clouds
04/02/2016,Normal train service has resumed between North Concord and Pittsburg/Baypoint in both directions. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ,Sat Apr 02 2016 07:41 AM PDT,08:00:00 AM PDT,23,DELAY,Clear
04/02/2016,Normal train service has resumed between North Concord and Pittsburg/Baypoint in both directions. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ,Sat Apr 02 2016 07:41 AM PDT,17:30:00 PM PDT,38,DELAY,Haze
04/03/2016,Normal train service has resumed between North Concord and Pittsburg/Baypoint in both directions. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ,Sat Apr 02 2016 07:41 AM PDT,08:00:00 AM PDT,14,DELAY,Mist
04/03/2016,Normal train service has resumed between North Concord and Pittsburg/Baypoint in both directions. ,"There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   Union City S.F./Richmond Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ",Sat Apr 02 2016 07:41 AM PDT,17:30:00 PM PDT,27,DELAY,Clouds
04/04/2016,BART is running shuttle trains between North Concord and Bay Point stations every 10-minutes. Passengers with a final destination of Bay Point must transfer at North Concord. Passengers departing from Bay Point must transfer at North Concord for a SFO/San Francisco train. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ,Mon Apr 04 2016 07:23 AM PDT,08:00:00 AM PDT,58,DELAY,Mist
04/04/2016,Normal train service has resumed between North Concord and Pittsburg/Baypoint in both directions. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ,Mon Apr 04 2016 11:17 AM PDT,17:30:00 PM PDT,56,DELAY,Clear
04/05/2016,Normal train service has resumed between North Concord and Pittsburg/Baypoint in both directions. ,"There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   El Cerrito Plaza S.F./Fremont Platform Elevator and  Lake Merritt Platform Elevator.  Thank you. ",Tue Apr 05 2016 03:43 AM PDT,08:00:00 AM PDT,58,DELAY,Mist
04/05/2016,Normal train service has resumed between North Concord and Pittsburg/Baypoint in both directions. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ,Tue Apr 05 2016 03:43 AM PDT,17:30:00 PM PDT,57,DELAY,Clouds
04/06/2016,Normal train service has resumed between North Concord and Pittsburg/Baypoint in both directions. ,"There are three elevators out of service at this time:  12th St. Oakland Ogawa Plaza Elevator,   Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ",Wed Apr 06 2016 03:48 AM PDT,17:30:00 PM PDT,59,DELAY,Clouds
04/07/2016,Normal train service has resumed between North Concord and Pittsburg/Baypoint in both directions. ,"There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   El Cerrito Plaza S.F./Fremont Platform Elevator and  19th St. Oakland Street Elevator.  Thank you. ",Thu Apr 07 2016 03:51 AM PDT,08:00:00 AM PDT,60,DELAY,Mist
04/07/2016,Normal train service has resumed between North Concord and Pittsburg/Baypoint in both directions. ,"There are four elevators out of service at this time:  Union City Fremont Platform Elevator,   El Cerrito Plaza S.F./Fremont Platform Elevator and  Daly City Both Tunnel Elevators.  Thank you. ",Thu Apr 07 2016 03:51 AM PDT,17:29:00 PM PDT,58,DELAY,Mist
04/08/2016,Normal train service has resumed between North Concord and Pittsburg/Baypoint in both directions. ,"There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   El Cerrito Plaza S.F./Fremont Platform Elevator and  South San Francisco Platform Elevator.  Thank you. ",Fri Apr 08 2016 03:48 AM PDT,07:59:00 AM PDT,58,DELAY,Mist
04/08/2016,Normal train service has resumed between North Concord and Pittsburg/Baypoint in both directions. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ,Fri Apr 08 2016 03:48 AM PDT,17:30:00 PM PDT,59,DELAY,Rain
04/09/2016,Attention Passengers: This weekend there will be no BART trains running between Bayfair and San Leandro stations all day Saturday and Sunday while maintenance crews upgrade the trackway to improve reliability and safety. BART will provide a free bus bridge. Visit bart.gov for more info. BART to OAK airport service will be in full operation. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ,Sat Apr 09 2016 06:10 AM PDT,07:59:00 AM PDT,27,DELAY,Rain
04/09/2016,Attention Passengers: This weekend there will be no BART trains running between Bayfair and San Leandro stations all day Saturday and Sunday while maintenance crews upgrade the trackway to improve reliability and safety. BART will provide a free bus bridge. Visit bart.gov for more info. BART to OAK airport service will be in full operation. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ,Sat Apr 09 2016 06:10 AM PDT,17:29:00 PM PDT,33,DELAY,Rain
04/10/2016,Attention Passengers: This weekend there will be no BART trains running between Bayfair and San Leandro stations all day Saturday and Sunday while maintenance crews upgrade the trackway to improve reliability and safety. BART will provide a free bus bridge. Visit bart.gov for more info. BART to OAK airport service will be in full operation. ,"There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   El Cerrito Plaza S.F./Fremont Platform Elevator and  Fruitvale S.F./Richmond Platform Elevator.  Thank you. ",Sat Apr 09 2016 06:10 AM PDT,07:59:00 AM PDT,14,DELAY,Rain
04/10/2016,Attention Passengers: This weekend there will be no BART trains running between Bayfair and San Leandro stations all day Saturday and Sunday while maintenance crews upgrade the trackway to improve reliability and safety. BART will provide a free bus bridge. Visit bart.gov for more info. BART to OAK airport service will be in full operation. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ,Sat Apr 09 2016 06:10 AM PDT,17:29:00 PM PDT,25,DELAY,Clouds
04/11/2016,Normal train service has resumed between North Concord and Pittsburg/Baypoint in both directions. ,"There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   El Cerrito Plaza S.F./Fremont Platform Elevator and  MacArthur S.F./Fremont Platform Elevator.  Thank you. ",Mon Apr 11 2016 03:54 AM PDT,07:59:00 AM PDT,60,DELAY,Mist
04/12/2016,Normal train service has resumed between North Concord and Pittsburg/Baypoint in both directions. ,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  Richmond Street Elevator.  Thank you. ,Tue Apr 12 2016 03:52 AM PDT,07:59:00 AM PDT,60,DELAY,Mist
04/12/2016,No delays reported.,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  Fruitvale Fremont/Dublin Platform Elevator.  Thank you. ,,17:29:00 PM PDT,59,,Clouds
04/13/2016,No delays reported.,There are two elevators out of service at this time:  San Leandro S.F./Richmond Platform Elevator and  Union City Fremont Platform Elevator.  Thank you. ,,07:59:00 AM PDT,60,,Mist
04/13/2016,No delays reported.,There is one elevator out of service at this time:  Union City Fremont Platform Elevator.  Thank you. ,,17:29:00 PM PDT,59,,Haze
04/14/2016,No delays reported.,There is one elevator out of service at this time:  Union City Fremont Platform Elevator.  Thank you. ,,07:59:00 AM PDT,59,,Mist
04/14/2016,No delays reported.,There is one elevator out of service at this time:  Union City Fremont Platform Elevator.  Thank you. ,,17:29:00 PM PDT,59,,Clouds
04/15/2016,No delays reported.,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ,,07:59:00 AM PDT,59,,Clear
04/15/2016,No delays reported.,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ,,17:31:00 PM PDT,58,,Clouds
04/16/2016,No delays reported.,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ,,07:59:00 AM PDT,23,,Mist
04/16/2016,No delays reported.,"There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   El Cerrito Plaza S.F./Fremont Platform Elevator and  16th St. Mission Street Elevator.  Thank you. ",,17:29:00 PM PDT,42,,Clear
04/17/2016,No delays reported.,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ,,07:59:00 AM PDT,13,,Clear
04/17/2016,No delays reported.,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito Plaza S.F./Fremont Platform Elevator.  Thank you. ,,17:29:00 PM PDT,26,,Rain
04/18/2016,No delays reported.,There is one elevator out of service at this time:  Union City Fremont Platform Elevator.  Thank you. ,,17:29:00 PM PDT,57,,Clouds
04/19/2016,BART is recovering from an earlier problem. There is a 10-minute delay on the Pittsburg/Bay Point Line in the Daly City and Montgomery directions due to an earlier equipment problem on a train. ,There is one elevator out of service at this time:  Union City Fremont Platform Elevator.  Thank you. ,Tue Apr 19 2016 07:32 AM PDT,07:59:00 AM PDT,59,DELAY,Clear
04/19/2016,No delays reported.,There is one elevator out of service at this time:  Union City Fremont Platform Elevator.  Thank you. ,,17:29:00 PM PDT,57,,Clouds
04/20/2016,No delays reported.,There is one elevator out of service at this time:  Union City Fremont Platform Elevator.  Thank you. ,,07:59:00 AM PDT,58,,Clear
04/20/2016,No delays reported.,There is one elevator out of service at this time:  Union City Fremont Platform Elevator.  Thank you. ,,17:29:00 PM PDT,58,,Clouds
04/21/2016,No delays reported.,There is one elevator out of service at this time:  Union City Fremont Platform Elevator.  Thank you. ,,07:59:00 AM PDT,57,,Mist
04/21/2016,No delays reported.,There is one elevator out of service at this time:  Union City Fremont Platform Elevator.  Thank you. ,,17:29:00 PM PDT,60,,Clouds
04/22/2016,There is a 10-minute delay at MacArthur in the Fremont and Millbrae directions due to an equipment problem on the track. ,There are two elevators out of service at this time:  North Berkeley Station Elevator and  Union City Fremont Platform Elevator.  Thank you. ,Fri Apr 22 2016 07:58 AM PDT,07:59:00 AM PDT,60,DELAY,Rain
04/22/2016,No delays reported.,There is one elevator out of service at this time:  Union City Fremont Platform Elevator.  Thank you. ,,17:30:00 PM PDT,56,,Clouds
04/23/2016,Attention Passengers: This weekend there will be no BART trains running between Bayfair and San Leandro stations all day Saturday and Sunday while maintenance crews upgrade the trackway to improve reliability and safety. BART will provide a free bus bridge. Visit bart.gov for more info. BART to OAK airport service will be in full operation. ,Attention passengers: All elevators are in service. Thank You.,Sat Apr 23 2016 05:13 AM PDT,07:59:00 AM PDT,25,DELAY,Clear
04/23/2016,"BART is recovering from an earlier problem. There is a 20-minute delay at MacArthur in the Pittsburg / Bay Point, Fremont, Richmond and San Francisco directions due to police activity. ","There are three elevators out of service at this time:  Union City Fremont Platform Elevator,   12th St. Oakland Street Elevator and  Fruitvale S.F./Richmond Platform Elevator.  Thank you. ",Sat Apr 23 2016 05:20 PM PDT,17:30:00 PM PDT,34,DELAY,Clouds
04/24/2016,Attention Passengers: This weekend there will be no BART trains running between Bayfair and San Leandro stations all day Saturday and Sunday while maintenance crews upgrade the trackway to improve reliability and safety. BART will provide a free bus bridge. Visit bart.gov for more info. BART to OAK airport service will be in full operation. ,There is one elevator out of service at this time:  Union City Fremont Platform Elevator.  Thank you. ,Sat Apr 23 2016 05:13 AM PDT,08:00:00 AM PDT,15,DELAY,Clear
04/24/2016,There is a 10-minute delay at Balboa Park on the Daly City Line in the East Bay direction due to an equipment problem on a train. ,There is one elevator out of service at this time:  Union City Fremont Platform Elevator.  Thank you. ,Sun Apr 24 2016 05:20 PM PDT,17:29:00 PM PDT,24,DELAY,Haze
04/25/2016,No delays reported.,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  MacArthur S.F./Fremont Platform Elevator.  Thank you. ,,07:59:00 AM PDT,60,,Clear
04/25/2016,No delays reported.,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  Berkeley Street Elevator.  Thank you. ,,17:30:00 PM PDT,57,,Haze
04/26/2016,No delays reported.,There is one elevator out of service at this time:  Union City Fremont Platform Elevator.  Thank you. ,,08:00:00 AM PDT,58,,Mist
04/26/2016,No delays reported.,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  El Cerrito del Norte S.F./Fremont Platform Elevator.  Thank you. ,,17:29:00 PM PDT,61,,Haze
04/27/2016,No delays reported.,There is one elevator out of service at this time:  Union City Fremont Platform Elevator.  Thank you. ,,07:59:00 AM PDT,59,,Mist
04/27/2016,No delays reported.,There are two elevators out of service at this time:  Union City Fremont Platform Elevator and  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,,17:30:00 PM PDT,56,,Haze
04/28/2016,No delays reported.,"There are four elevators out of service at this time:  Union City Fremont Platform Elevator,   Ashby Street Elevator,   Pleasant Hill Bay Point Platform Elevator and  South San Francisco Platform Elevator.  Thank you. ",,07:59:00 AM PDT,60,,Mist
04/28/2016,No delays reported.,There are two elevators out of service at this time:  Pleasant Hill Bay Point Platform Elevator and  Fruitvale S.F./Richmond Platform Elevator.  Thank you. ,,17:29:00 PM PDT,59,,Clear
04/29/2016,No delays reported.,"There are three elevators out of service at this time:  Pleasant Hill Bay Point Platform Elevator,   Civic Center Platform Elevator and  West Oakland East Bay Platform Elevator.  Thank you. ",,07:59:00 AM PDT,61,,Clear
04/29/2016,No delays reported.,"There are three elevators out of service at this time:  Pleasant Hill Bay Point Platform Elevator,   Civic Center Platform Elevator and  Berkeley Street Elevator.  Thank you. ",,17:29:00 PM PDT,59,,Clear
04/30/2016,No delays reported.,There is one elevator out of service at this time:  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,,17:29:00 PM PDT,40,,Clear
05/01/2016,No delays reported.,There is one elevator out of service at this time:  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,,07:59:00 AM PDT,12,,Clear
05/01/2016,"There is a 20-minute delay in Downtown Oakland in the Fremont, SFO, Millbrae and Daly City directions due to an equipment problem on a train. ",There is one elevator out of service at this time:  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,Sun May 01 2016 05:14 PM PDT,17:29:00 PM PDT,27,DELAY,Clear
05/02/2016,No delays reported.,There is one elevator out of service at this time:  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,,07:59:00 AM PDT,59,,Clouds
05/02/2016,There is a 10 minute delay on the Daly City Line in the East Bay direction due to an equipment problem on a train. ,There is one elevator out of service at this time:  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,Mon May 02 2016 05:14 PM PDT,17:29:00 PM PDT,56,DELAY,Clear
05/03/2016,No delays reported.,There is one elevator out of service at this time:  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,,07:59:00 AM PDT,61,,Clouds
05/03/2016,No delays reported.,There is one elevator out of service at this time:  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,,17:29:00 PM PDT,60,,Clouds
05/04/2016,No delays reported.,There are two elevators out of service at this time:  Pleasant Hill Bay Point Platform Elevator and  16th St. Mission Street Elevator.  Thank you. ,,07:59:00 AM PDT,60,,Clouds
05/04/2016,No delays reported.,There is one elevator out of service at this time:  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,,17:29:00 PM PDT,59,,Clouds
05/05/2016,No delays reported.,"There are three elevators out of service at this time:  Pleasant Hill Bay Point Platform Elevator,   South Hayward Fremont Platform Elevator and  South Hayward S.F./Richmond Platform Elevator.  Thank you. ",,07:59:00 AM PDT,57,,Rain
05/05/2016,No delays reported.,There are two elevators out of service at this time:  Pittsburg/Bay Point Street Elevator and  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,,17:29:00 PM PDT,60,,Clouds
05/06/2016,No delays reported.,There is one elevator out of service at this time:  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,,07:59:00 AM PDT,61,,Clouds
05/06/2016,No delays reported.,There is one elevator out of service at this time:  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,,17:29:00 PM PDT,60,,Rain
05/07/2016,Attention Passengers: This weekend there will be no BART trains running between Bayfair and San Leandro stations all day Saturday and Sunday while maintenance crews upgrade the trackway to improve reliability and safety. BART will provide a free bus bridge. Visit bart.gov for more info. BART to OAK airport service will be in full operation. ,There is one elevator out of service at this time:  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,Sat May 07 2016 05:05 AM PDT,07:59:00 AM PDT,26,DELAY,Clouds
05/07/2016,Attention Passengers: This weekend there will be no BART trains running between Bayfair and San Leandro stations all day Saturday and Sunday while maintenance crews upgrade the trackway to improve reliability and safety. BART will provide a free bus bridge. Visit bart.gov for more info. BART to OAK airport service will be in full operation. ,There are two elevators out of service at this time:  Pittsburg/Bay Point Street Elevator and  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,Sat May 07 2016 05:05 AM PDT,17:29:00 PM PDT,35,DELAY,Rain
05/08/2016,Attention Passengers: This weekend there will be no BART trains running between Bayfair and San Leandro stations all day Saturday and Sunday while maintenance crews upgrade the trackway to improve reliability and safety. BART will provide a free bus bridge. Visit bart.gov for more info. BART to OAK airport service will be in full operation. ,There are two elevators out of service at this time:  Pittsburg/Bay Point Street Elevator and  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,Sat May 07 2016 05:05 AM PDT,07:59:00 AM PDT,15,DELAY,Clouds
05/08/2016,Attention Passengers: This weekend there will be no BART trains running between Bayfair and San Leandro stations all day Saturday and Sunday while maintenance crews upgrade the trackway to improve reliability and safety. BART will provide a free bus bridge. Visit bart.gov for more info. BART to OAK airport service will be in full operation. ,There are two elevators out of service at this time:  Bay Fair Platform Elevator and  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,Sat May 07 2016 05:05 AM PDT,17:29:00 PM PDT,26,DELAY,Clear
05/09/2016,No delays reported.,"The following elevators are out of service: Bayfair (platform), Pleasant Hill (Bay point platform), ElCerritto Plaza (San Francisco/Fremont platform). ",,17:29:00 PM PDT,57,,Clear
05/10/2016,No delays reported.,There are two elevators out of service at this time:  Coliseum Platform Elevator and  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,,07:59:00 AM PDT,61,,Clouds
05/10/2016,No delays reported.,There is one elevator out of service at this time:  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,,17:29:00 PM PDT,62,,Clear
05/11/2016,No delays reported.,"There are three elevators out of service at this time:  Rockridge Station Elevator,   Pleasant Hill Bay Point Platform Elevator and  Lake Merritt Street Elevator.  Thank you. ",,07:59:00 AM PDT,60,,Clouds
05/11/2016,No delays reported.,There are two elevators out of service at this time:  El Cerrito Plaza S.F./Fremont Platform Elevator and  Pleasant Hill Bay Point Platform Elevator.  Thank you. ,,17:29:00 PM PDT,59,,Clear
05/12/2016,No delays reported.,"There are five elevators out of service at this time:  El Cerrito del Norte Richmond Platform Elevator,   Pleasant Hill Bay Point Platform Elevator,   19th St. Oakland Street Elevator,   South Hayward S.F./Richmond Platform Elevator and  South Hayward Fremont Platform Elevator.  Thank you. ",,07:59:00 AM PDT,59,,Rain
